index,time_abs,time_delta,j1,j2,j3,j4,j5,j6
49,8.078,0.108,-1.4463892577127409,-0.2447300677146449,0.5427799440777166,1.3165367613643626,0.1373748654244737,-0.831928641255617
50,8.269,0.108,-1.366278645046201,-0.231151406134129,0.5130046270386933,1.243180572903041,0.12946852391293937,-0.7862533747309255
51,8.461,0.109,-1.2861854856721813,-0.21759019784613307,0.48322930999967006,1.1698243844417193,0.121579635693925,-0.7405781082062339
52,8.652,0.109,-1.2060923262981615,-0.2040115362656172,0.4534714462531667,1.0964856492729176,0.11367329418239068,-0.6949028416815423
53,8.843,0.108,-1.1259991669241418,-0.19043287468510128,0.42369612921414346,1.023129460811596,0.10576695267085637,-0.6492275751568507
54,9.034,0.109,-1.0459060075501219,-0.1768542131045854,0.3939208121751202,0.9497907256427941,0.097878064451842,-0.6035523086321591
55,9.226,0.108,-0.9657953948835821,-0.16327555152406953,0.36414549513609695,0.8764345371814726,0.0899717229403077,-0.5578770421074675
56,9.417,0.108,-0.8857022355095624,-0.14969688994355365,0.3343876313895936,0.8030783487201508,0.08206538142877337,-0.5122017755827759
57,9.608,0.109,-0.8056090761355427,-0.13611822836303777,0.30461231435057035,0.7297396135513491,0.07417649320975901,-0.46654396235060425
58,9.799,0.108,-0.7255159167615229,-0.12253956678252187,0.2748369973115471,0.6563834250900275,0.0662701516982247,-0.42086869582591263
59,9.99,0.109,-0.645422757387503,-0.108960905202006,0.24507913356504374,0.5830272366287058,0.05836381018669038,-0.375193429301221
60,10.182,0.109,-0.5653121447209634,-0.0953822436214901,0.2153038165260205,0.5096885014599041,0.05047492196767601,-0.3295181627765294
61,10.373,0.108,-0.4852189853469435,-0.08180358204097424,0.18552849948699723,0.4363323129985824,0.042568580456141696,-0.28384289625183784
62,10.564,0.108,-0.4051258259729238,-0.06822492046045833,0.15577063574049393,0.36299357782978064,0.03466223894460738,-0.23816762972714622
63,10.755,0.108,-0.325032666598904,-0.0546637121724624,0.12599531870147065,0.28963738936845895,0.026773350725593014,-0.1924923632024546
64,10.947,0.108,-0.24493950722488422,-0.04108505059194652,0.09622000166244739,0.21628120090713732,0.018867009214058702,-0.14681709667776302
65,11.138,0.109,-0.16482889455834449,-0.027506389011430633,0.06644468462342412,0.14294246573833558,0.01096066770252439,-0.10114183015307139
66,11.329,0.109,-0.0847357351843247,-0.013927727430914751,0.0366868208769208,0.06958627727701393,0.00307177948351002,-0.05546656362837979
67,11.73,0.318,-0.004642575810304917,-0.00034906585039886593,0.006911503837897545,-0.0037524578917878084,-0.0048345620280242935,-0.009791297103688189
