index,time_abs,time_delta,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,t,j1_vel,j1_acc,j1_jerk,j2_vel,j2_acc,j2_jerk,j3_vel,j3_acc,j3_jerk,j4_vel,j4_acc,j4_jerk,j5_vel,j5_acc,j5_jerk,j6_vel,j6_acc,j6_jerk
9,1.495,-0.031,-2.850803346915018,0.2971423051520346,1.4330025823499444,-0.26244515962238735,0.32150710150987544,-3.443325174674573,1.495,215.18031524063917,3061.694818174059,-199503.69107985497,-262.71106785788635,-1912.0782325640903,281398.7871319279,183.3438835240022,88.82693850956275,-212059.82714474903,176.62888439491704,2058.2911998137424,-192823.15147408633,613.4349562193124,3840.471443973249,-673893.7990963366,316.6523428197752,4060.5927042205585,-323257.51658651885
5,1.496,0.24,-2.627663002047543,0.027052603405912107,1.620258957796416,-0.0805469449795383,0.9513091620920293,-3.1162155662657955,1.496,218.19386508531446,2855.5158851438746,-204013.04186639155,-264.484797987776,-1623.8482960559813,284457.3748949436,183.29527205054478,-127.05642667903109,-212638.08410316583,178.6023621912756,1860.2363895201256,-195663.4566216811,616.9211596716267,3151.046890386392,-680134.8860514205,320.59625780652743,3727.7376163673944,-329077.6942106187
10,1.544,-0.043,-3.551046896107663,0.24548055929300244,1.2920497919588823,0.8987223917294401,0.8859291283123216,-2.734354979221956,1.544,-8.851615188921125,-1946.8968830103986,-85492.83413759772,2.8982289547364157,3338.1237420940256,51535.12458537797,-3.5406086526684852,-2856.5568427492626,-8565.405576937355,6.985507531972059,-2021.9306681297041,-41248.31898041805,-4.0293082727199305,-8092.033638258499,-101633.18089100254,1.4550020244137585,-3364.876753231466,-95716.82572246961
10,1.623,-0.024,-2.8999867252362184,0.25960027294163657,1.4410310969091182,-0.29377381969568556,0.22081905696232257,-3.464600738256384,1.623,199.21976236482098,-6808.061357519977,-135047.14212338265,-23.64278099995464,669.2105251801919,10609.334640479057,-94.5255648548422,2746.6765849115327,70365.13655190947,49.2300088549478,-127.80125887323766,-30756.97926599547,-13.42256226856173,1119.4037719238208,22389.536487742567,162.60507624661255,-4159.445120446477,-107176.45206578966
7,1.636,0.081,0.09841911651996024,-0.09871582249279927,0.0059515727493006645,0.4838227219453481,0.03562217003320427,-0.983109061063366,1.636,90.5165205589415,-8720.937079390425,-65613.56997702456,-12.792738067176652,902.0992782373055,7619.017752682461,-50.47918638233041,3660.221387458544,39267.47669503101,46.151256272515226,-644.7296836661601,-30431.124986648705,3.778720524539791,1208.9278935689197,5774.787855869847,95.27045434246054,-5760.499093034949,-67047.89465906726
11,1.659,-0.043,-3.5219173508918775,0.20807815342276398,1.282869360093392,0.989287526615426,0.855996731640619,-2.6826234201928445,1.659,-124.67964398098809,-6912.37619396562,64547.58331438554,10.701486308603155,658.3889629867654,-5152.902570914606,44.77577694692977,3301.700195730365,-23603.233927322304,14.723976989226621,-964.8805276947282,-8789.21208645972,26.9350592749841,1296.5110659377085,-16885.043347067665,-60.859706900922376,-5019.351084815337,30227.028751909114
11,1.751,-0.017,-2.9491701035574183,0.22205824073123856,1.4490421581757722,-0.3251199330615037,0.1201310124147697,-3.4858588485456745,1.751,138.7659394336731,-6157.462036144963,-59513.962966695195,-62.34718072995844,2187.4188243746503,49879.92321185954,39.478453714745854,-1819.4483431870267,-49151.800968318596,73.71540278226526,114.49541699084511,-90516.1327048259,252.82872959922213,-7871.939631613961,-237304.8246120233,128.32137397812937,-2973.285990450866,-100967.73376886128
6,1.754,0.24,-2.519906374029413,0.028902652413026097,1.5711628459378155,-0.09536479032897018,0.9041329124106224,-3.087487446777969,1.754,119.41106409831639,-6342.628663792317,-35833.315495935676,-55.493263010387004,2340.3122929311858,40976.51836016969,33.84775196034179,-1966.2666187705693,-40684.320653504255,74.00736249414648,-167.05554981241562,-91353.17993503335,228.2026308074163,-8597.319646388243,-204356.57999736696,118.90948971566053,-3288.2421063852858,-90021.56167539471
12,1.775,-0.044,-3.4927703523835723,0.17065829426000556,1.273671474935382,1.0798701147939316,0.8260817882614362,-2.6308918611637324,1.775,2.238340013650115,-3289.460912389671,125135.77996871257,1.8372339430641447,1732.5874181697932,-35056.60568015955,-20.580654027324492,-1607.1369849660275,26791.907436420915,31.63600424348305,-1718.392405538772,-32365.40482934325,-9.468228987367057,-7385.604362007566,107102.46870589629,27.667144703889967,-2979.0147870656992,36746.100386690814
8,1.814,0.081,0.11203268468551601,-0.11353366784223114,0.006440264939859076,0.5516636699703676,0.04024729255098924,-1.122770307807952,1.814,39.82474386387781,123.92701908218865,56665.58016990926,-2.8347391574715024,-77.6893814015488,-29077.721420645845,-11.939170884443632,139.6162087052162,24830.42156533014,-13.704056774466832,25.70592608454956,33099.228621789254,-12.713627175992112,369.4894354181728,124287.51794527259,10.41276857349429,49.0319710225171,53706.992299473786
12,1.879,-0.017,-2.9983534818786186,0.18453366181336048,1.457070672734946,-0.3564660464273219,0.01942551457469689,-3.507116958834966,1.879,-43.101250190285555,464.3277722224566,2761.209591397237,-3.323195543363232,-89.28109550423994,1123.110974766615,-11.743147883541738,-408.53625794654056,4461.906435871948,116.69625101893693,918.187966018817,-23939.96010155649,60.34620326489379,370.73199752737673,-12835.93577480769,66.84046613516256,947.002974908527,-16270.841132999325
13,1.89,-0.043,-3.463623353875267,0.13325588838976707,1.264491043069892,1.1704352496799175,0.7961668448822533,-2.5791603021346208,1.89,-34.75435872919168,490.092420285546,25528.424913187544,-4.457498858631268,-74.50418478820615,1919.7599299999838,-17.003166591216036,-335.45070902579727,7721.471452980189,124.77101949951928,584.7234077346488,-76913.43257563411,63.02202273525838,205.6065300674344,-40343.50158063363,77.40434548464589,712.0178864736442,-43696.54138291138
9,1.992,0.081,0.12564625285107178,-0.128351513191663,0.006928957130417489,0.6195046179953873,0.044872415068774214,-1.2624141012600185,1.992,-238.92131048868367,25023.906326029683,79844.40825211699,15.006997996668606,666.4850994709822,-543600.0137881861,83.78014778977031,1471.09828821493,-942813.0797077833,43.15821537609284,-51334.129469504114,8283567.693832428,48.384037210103145,-27868.987089345726,6183145.63045572,-84.84938176806865,-24869.17910276014,5915123.0483267065
14,2.005,-0.044,-3.434493808659482,0.09585348251952858,1.2553106112044017,1.2610178378584231,0.7662344482105505,-2.5274287431055087,2.005,131.1670872913612,25795.653660160264,-4883244.365002684,24.459402153702783,-7313.022137322519,-660853.5386978555,103.70473427953448,-12376.928749960032,-1175842.458805034,-707.9133762144259,70920.34224990662,18176464.65731136,-359.8501055907948,63212.566496762054,11558143.056560624,-446.717917088537,62243.50216699303,10639048.296161462
13,2.007,-0.018,-3.0475368601998185,0.14699162960296244,1.4650817340016,-0.38781215979314,-0.08126252997285598,-3.5283750691242566,2.007,181.93603010996037,14508.36199336847,-5557548.041054817,7.359471679239511,-8649.204688476453,-435238.1694483872,74.6710031644806,-14762.647393636415,-791617.2164903118,-526.474205540876,109972.43295685678,15787513.312097194,-204.31260556153836,87729.42790335792,9510181.079190118,-294.5141301866872,84733.31347127944,8632265.330567095
7,2.011,0.241,-2.412132292718763,0.030752701420140086,1.5220492807866948,-0.11018263567840202,0.8569741160217358,-3.0587593272901423,2.011,152.96060275601772,-7033.047832127315,-5193677.020033702,-28.031262684632438,-8527.332517242166,32072.24657553905,13.65415890104628,-14719.17941681605,14871.972626211074,67.43830724727056,143214.22987424332,7973704.585258146,226.29052916179234,103784.15522726931,3839912.36919517,113.47048386132772,98361.25222095136,3256631.5564305214
